1,人,人,rén,他是哪国人？,Tā shì nǎ guó rén?,彼はどこの国の人ですか？,疑問詞疑問文,
2,爸爸,お父さん・パパ,bàba,安静些 爸爸在睡觉。,Ānjìng xiē bàba zài shuìjiào。,静かにして。パパが寝ているから。,進行形,
3,妈妈,お母さん,māma,我妈妈性格特别好。,Wǒ māma xìnggé tèbié hǎo.,うちの母は性格がとびきり良いです。,主述述語文,
4,哥哥,兄・お兄さん,gēge,他是我哥哥。,Tā shì wǒ gēge．,彼は私の兄です。,“是”構文,
5,姐姐,姉・お姉さん,jiějie,她是我姐姐。,Tā shì wǒ jiějie,彼女は私の姉です。,“是”構文,
6,弟弟,弟,dìdi,我有一个弟弟。,Wǒ yǒu yí ge dìdi．,私には弟が一人います。,所有を表す動詞の“有”,
7,妹妹,妹,mèimei,你妹妹去哪儿?,Nǐ mèimei qù nǎr?,あなたの妹さんはどこに行きますか？,動詞述語文と疑問詞疑問文
8,兄弟姐妹,きょうだい,xiōngdìjiěmèi,你有兄弟姐妹吗?,Nǐ yǒu xiōngdìjiěmèi ma?,あなたはきょうだいがいますか？,所有を表す動詞の“有”
9,孩子,子供,háizi,我有三个孩子。,Wǒ yǒu sānge háizi.,私には三人の子供がいます。,所有を表す動詞の“有”
10,朋友,友人,péngyou,他是我的朋友。,Tā shì wǒ de péngyǒu．,彼は私の友人です。,“是”構文
11,名字,名前,míngzi,你叫什么名字？,Nǐ jiào shénme míngzi?,お名前は何とおっしゃるんですか？,疑問詞疑問文
12,早饭,朝食,zǎofàn,你吃早饭吗?,Nǐ chī zǎofàn ma?,あなたは朝ごはんを食べますか？,動詞述語文
13,午饭,ランチ,wǔfàn,你吃午饭?,Nǐ chī wǔfàn ma?,あなたはお昼ご飯を食べますか？,動詞述語文
14,晚饭,夕食,wǎnfàn,你吃晚饭吗?,Nǐ chī wǎnfàn ma?,あなたは晩ご飯を食べますか？,動詞述語文
15,饭,ご飯・食事,fàn,我妈妈在做饭呢。,Wǒ māma zài zuòfàn ne.,母はご飯を作っている。,進行形
16,米饭,ご飯・ライス,mǐfàn,我喜欢吃米饭。,Wǒ xǐhuan chī mǐfàn．,私はご飯が好きです。,動詞述語文
17,面包,パン,miànbāo,我吃面包。,Wǒ chī miànbāo．,私はパンを食べます。,動詞述語文
18,菜,料理,cài,我喜欢吃中国菜。,Wǒ xǐhuan chī Zhōngguócài．,私は中国料理が好きです。,動詞述語文
19,肉,肉,ròu,我喜欢吃牛肉。,Wǒ xǐhuan chī niúròu.,私は牛肉が好きです。,動詞述語文
20,餐厅,レストラン,cāntīng,我们在餐厅吃饭。,Wǒmen zài cāntīng chī fàn．,私たちはレストランで食事をする。,介詞“在”
21,水,水・お湯,shuǐ,我提着两个暖壶去水房打水。,Wǒ tízhe liǎng ge nuǎnhú qù shuǐfáng dǎ shuǐ.,私は魔法瓶を二つ持って水汲み室に行きお湯を入れた。,連動文
